ENSG00000108349	ENSG00000196396	Protein	Protein	PPI
ENSG00000116478	ENSG00000155959	Protein	Protein	PPI
ENSG00000105401	ENSG00000132155	Protein	Protein	PPI
ENSG00000002330	ENSG00000197747	Protein	Protein	PPI
ENSG00000171720	ENSG00000196498	Protein	Protein	PPI
ENSG00000123200	ENSG00000175221	Protein	Protein	PPI
ENSG00000164609	ENSG00000167110	Protein	Protein	PPI
ENSG00000144231	ENSG00000198730	Protein	Protein	PPI
ENSG00000076053	ENSG00000165119	Protein	Protein	PPI
ENSG00000100345	ENSG00000176105	Protein	Protein	PPI
ENSG00000136527	ENSG00000147274	Protein	Protein	PPI
ENSG00000137497	ENSG00000156603	Protein	Protein	PPI
ENSG00000136146	ENSG00000145216	Protein	Protein	PPI
ENSG00000099917	ENSG00000116016	Protein	Protein	PPI
ENSG00000082898	ENSG00000165138	Protein	Protein	PPI
ENSG00000171791	ENSG00000185950	Protein	Protein	PPI
ENSG00000115306	ENSG00000134982	Protein	Protein	PPI
ENSG00000155393	ENSG00000197448	Protein	Protein	PPI
ENSG00000079387	ENSG00000100401	Protein	Protein	PPI
ENSG00000057663	ENSG00000100567	Protein	Protein	PPI
ENSG00000183741	ENSG00000197153	Protein	Protein	PPI
ENSG00000135486	ENSG00000185624	Protein	Protein	PPI
ENSG00000060971	ENSG00000221821	Protein	Protein	PPI
ENSG00000103035	ENSG00000132256	Protein	Protein	PPI
ENSG00000082516	ENSG00000106399	Protein	Protein	PPI
ENSG00000017797	ENSG00000105619	Protein	Protein	PPI
ENSG00000123200	ENSG00000156603	Protein	Protein	PPI
ENSG00000130723	ENSG00000147677	Protein	Protein	PPI
ENSG00000133226	ENSG00000147677	Protein	Protein	PPI
ENSG00000167487	ENSG00000167642	Protein	Protein	PPI
ENSG00000156970	ENSG00000164162	Protein	Protein	PPI
ENSG00000162385	ENSG00000265241	Protein	Protein	PPI
ENSG00000162231	ENSG00000275700	Protein	Protein	PPI
ENSG00000173914	ENSG00000173933	Protein	Protein	PPI
ENSG00000008294	ENSG00000156976	Protein	Protein	PPI
ENSG00000069956	ENSG00000142856	Protein	Protein	PPI
ENSG00000079150	ENSG00000204531	Protein	Protein	PPI
ENSG00000105700	ENSG00000108651	Protein	Protein	PPI
ENSG00000142230	ENSG00000188612	Protein	Protein	PPI
ENSG00000110318	ENSG00000173230	Protein	Protein	PPI
ENSG00000050820	ENSG00000108953	Protein	Protein	PPI
ENSG00000004478	ENSG00000160678	Protein	Protein	PPI
ENSG00000103932	ENSG00000146834	Protein	Protein	PPI
ENSG00000072401	ENSG00000101752	Protein	Protein	PPI
ENSG00000012048	ENSG00000182247	Protein	Protein	PPI
ENSG00000078140	ENSG00000134758	Protein	Protein	PPI
ENSG00000165804	ENSG00000198795	Protein	Protein	PPI
ENSG00000138385	ENSG00000175104	Protein	Protein	PPI
ENSG00000099985	ENSG00000218891	Protein	Protein	PPI
ENSG00000100722	ENSG00000108424	Protein	Protein	PPI
ENSG00000104863	ENSG00000147044	Protein	Protein	PPI
ENSG00000075218	ENSG00000166747	Protein	Protein	PPI
ENSG00000148400	ENSG00000163939	Protein	Protein	PPI
ENSG00000041357	ENSG00000055130	Protein	Protein	PPI
ENSG00000196591	ENSG00000198160	Protein	Protein	PPI
ENSG00000072501	ENSG00000165097	Protein	Protein	PPI
ENSG00000177885	ENSG00000189060	Protein	Protein	PPI
ENSG00000124006	ENSG00000166598	Protein	Protein	PPI
ENSG00000112249	ENSG00000138757	Protein	Protein	PPI
ENSG00000111530	ENSG00000156735	Protein	Protein	PPI
ENSG00000100968	ENSG00000134324	Protein	Protein	PPI
ENSG00000133895	ENSG00000164985	Protein	Protein	PPI
ENSG00000005339	ENSG00000113580	Protein	Protein	PPI
ENSG00000150991	ENSG00000159348	Protein	Protein	PPI
ENSG00000120265	ENSG00000132604	Protein	Protein	PPI
ENSG00000167110	ENSG00000198331	Protein	Protein	PPI
ENSG00000146457	ENSG00000155229	Protein	Protein	PPI
ENSG00000099864	ENSG00000197386	Protein	Protein	PPI
ENSG00000152270	ENSG00000166979	Protein	Protein	PPI
ENSG00000069956	ENSG00000188986	Protein	Protein	PPI
ENSG00000094916	ENSG00000158406	Protein	Protein	PPI
ENSG00000109805	ENSG00000136146	Protein	Protein	PPI
ENSG00000131462	ENSG00000215251	Protein	Protein	PPI
ENSG00000149380	ENSG00000163874	Protein	Protein	PPI
ENSG00000177885	ENSG00000204843	Protein	Protein	PPI
ENSG00000113013	ENSG00000135486	Protein	Protein	PPI
ENSG00000143621	ENSG00000145220	Protein	Protein	PPI
ENSG00000027697	ENSG00000162231	Protein	Protein	PPI
ENSG00000113068	ENSG00000198932	Protein	Protein	PPI
ENSG00000082898	ENSG00000149480	Protein	Protein	PPI
ENSG00000188486	ENSG00000274267	Protein	Protein	PPI
ENSG00000068654	ENSG00000143256	Protein	Protein	PPI
ENSG00000141867	ENSG00000184634	Protein	Protein	PPI
ENSG00000066044	ENSG00000155324	Protein	Protein	PPI
ENSG00000170037	ENSG00000243147	Protein	Protein	PPI
ENSG00000160741	ENSG00000274267	Protein	Protein	PPI
ENSG00000064012	ENSG00000197579	Protein	Protein	PPI
ENSG00000143799	ENSG00000197299	Protein	Protein	PPI
ENSG00000100603	ENSG00000137076	Protein	Protein	PPI
ENSG00000109083	ENSG00000204104	Protein	Protein	PPI
ENSG00000132383	ENSG00000221829	Protein	Protein	PPI
ENSG00000123243	ENSG00000170836	Protein	Protein	PPI
ENSG00000102974	ENSG00000111530	Protein	Protein	PPI
ENSG00000072501	ENSG00000146670	Protein	Protein	PPI
ENSG00000108840	ENSG00000148672	Protein	Protein	PPI
ENSG00000113595	ENSG00000118503	Protein	Protein	PPI
ENSG00000073050	ENSG00000169621	Protein	Protein	PPI
ENSG00000150991	ENSG00000158019	Protein	Protein	PPI
ENSG00000044115	ENSG00000072110	Protein	Protein	PPI
ENSG00000044574	ENSG00000118518	Protein	Protein	PPI
ENSG00000197238	ENSG00000277775	Protein	Protein	PPI
ENSG00000057935	ENSG00000111642	Protein	Protein	PPI
ENSG00000132938	ENSG00000172315	Protein	Protein	PPI
ENSG00000082898	ENSG00000154380	Protein	Protein	PPI
ENSG00000130706	ENSG00000175166	Protein	Protein	PPI
ENSG00000004975	ENSG00000099341	Protein	Protein	PPI
ENSG00000278272	ENSG00000278637	Protein	Protein	PPI
ENSG00000169515	ENSG00000172037	Protein	Protein	PPI
ENSG00000132680	ENSG00000186908	Protein	Protein	PPI
ENSG00000140464	ENSG00000151247	Protein	Protein	PPI
ENSG00000077092	ENSG00000117713	Protein	Protein	PPI
ENSG00000108424	ENSG00000146834	Protein	Protein	PPI
ENSG00000106399	ENSG00000167962	Protein	Protein	PPI
ENSG00000077150	ENSG00000100906	Protein	Protein	PPI
ENSG00000128272	ENSG00000136026	Protein	Protein	PPI
ENSG00000136938	ENSG00000164508	Protein	Protein	PPI
ENSG00000074695	ENSG00000129083	Protein	Protein	PPI
ENSG00000069966	ENSG00000104765	Protein	Protein	PPI
ENSG00000029363	ENSG00000100227	Protein	Protein	PPI
ENSG00000004897	ENSG00000163104	Protein	Protein	PPI
ENSG00000135093	ENSG00000185900	Protein	Protein	PPI
ENSG00000156508	ENSG00000170276	Protein	Protein	PPI
ENSG00000146676	ENSG00000168283	Protein	Protein	PPI
ENSG00000136146	ENSG00000159479	Protein	Protein	PPI
ENSG00000086758	ENSG00000170315	Protein	Protein	PPI
ENSG00000123154	ENSG00000135930	Protein	Protein	PPI
ENSG00000115561	ENSG00000132612	Protein	Protein	PPI
ENSG00000074800	ENSG00000173120	Protein	Protein	PPI
ENSG00000060138	ENSG00000166266	Protein	Protein	PPI
ENSG00000066044	ENSG00000198890	Protein	Protein	PPI
ENSG00000065970	ENSG00000066044	Protein	Protein	PPI
ENSG00000139131	ENSG00000167112	Protein	Protein	PPI
ENSG00000089163	ENSG00000158793	Protein	Protein	PPI
ENSG00000079337	ENSG00000153201	Protein	Protein	PPI
ENSG00000171862	ENSG00000278540	Protein	Protein	PPI
ENSG00000004700	ENSG00000118260	Protein	Protein	PPI
ENSG00000131051	ENSG00000140988	Protein	Protein	PPI
ENSG00000047410	ENSG00000204531	Protein	Protein	PPI
ENSG00000091656	ENSG00000111642	Protein	Protein	PPI
ENSG00000143614	ENSG00000167110	Protein	Protein	PPI
ENSG00000085224	ENSG00000120802	Protein	Protein	PPI
ENSG00000116489	ENSG00000169851	Protein	Protein	PPI
ENSG00000110651	ENSG00000273703	Protein	Protein	PPI
ENSG00000085511	ENSG00000158773	Protein	Protein	PPI
ENSG00000005339	ENSG00000121864	Protein	Protein	PPI
ENSG00000136807	ENSG00000169045	Protein	Protein	PPI
ENSG00000185049	ENSG00000188986	Protein	Protein	PPI
ENSG00000102531	ENSG00000108055	Protein	Protein	PPI
ENSG00000170004	ENSG00000170323	Protein	Protein	PPI
ENSG00000114742	ENSG00000156504	Protein	Protein	PPI
ENSG00000101384	ENSG00000109670	Protein	Protein	PPI
ENSG00000105401	ENSG00000175634	Protein	Protein	PPI
ENSG00000113460	ENSG00000124006	Protein	Protein	PPI
ENSG00000055130	ENSG00000156735	Protein	Protein	PPI
ENSG00000012048	ENSG00000097007	Protein	Protein	PPI
ENSG00000090861	ENSG00000096384	Protein	Protein	PPI
ENSG00000110321	ENSG00000147677	Protein	Protein	PPI
ENSG00000012048	ENSG00000102882	Protein	Protein	PPI
ENSG00000068323	ENSG00000173692	Protein	Protein	PPI
ENSG00000075618	ENSG00000145555	Protein	Protein	PPI
ENSG00000169515	ENSG00000178952	Protein	Protein	PPI
ENSG00000100603	ENSG00000186908	Protein	Protein	PPI
ENSG00000130560	ENSG00000163636	Protein	Protein	PPI
ENSG00000136997	ENSG00000156504	Protein	Protein	PPI
ENSG00000071127	ENSG00000164163	Protein	Protein	PPI
ENSG00000104738	ENSG00000164815	Protein	Protein	PPI
ENSG00000110107	ENSG00000148400	Protein	Protein	PPI
ENSG00000100603	ENSG00000136709	Protein	Protein	PPI
ENSG00000114316	ENSG00000136875	Protein	Protein	PPI
ENSG00000134308	ENSG00000203811	Protein	Protein	PPI
ENSG00000101361	ENSG00000107937	Protein	Protein	PPI
ENSG00000146701	ENSG00000189283	Protein	Protein	PPI
ENSG00000015479	ENSG00000134644	Protein	Protein	PPI
ENSG00000011028	ENSG00000023287	Protein	Protein	PPI
ENSG00000082898	ENSG00000102316	Protein	Protein	PPI
ENSG00000106211	ENSG00000156467	Protein	Protein	PPI
ENSG00000108840	ENSG00000163636	Protein	Protein	PPI
ENSG00000102178	ENSG00000197958	Protein	Protein	PPI
ENSG00000140365	ENSG00000173039	Protein	Protein	PPI
ENSG00000106211	ENSG00000167978	Protein	Protein	PPI
ENSG00000082898	ENSG00000139350	Protein	Protein	PPI
ENSG00000167862	ENSG00000181610	Protein	Protein	PPI
ENSG00000062650	ENSG00000066044	Protein	Protein	PPI
ENSG00000005175	ENSG00000198522	Protein	Protein	PPI
ENSG00000177885	ENSG00000197694	Protein	Protein	PPI
ENSG00000087191	ENSG00000185627	Protein	Protein	PPI
ENSG00000145216	ENSG00000146670	Protein	Protein	PPI
ENSG00000126456	ENSG00000184584	Protein	Protein	PPI
ENSG00000089163	ENSG00000131844	Protein	Protein	PPI
ENSG00000147403	ENSG00000275700	Protein	Protein	PPI
ENSG00000137497	ENSG00000205213	Protein	Protein	PPI
ENSG00000111642	ENSG00000168148	Protein	Protein	PPI
ENSG00000051108	ENSG00000196470	Protein	Protein	PPI
ENSG00000169122	ENSG00000213923	Protein	Protein	PPI
